Model,FID
v5,86.23240452522879
v10,96.46583649314032
v7,105.04044910873971
v8,107.40926681808463
v1,108.11716422085253
v2,112.88107049703282
v9,123.6468556926848
v4,312.2110341797
v6,369.9930399416593
v3,601.7244388778875
